product,brand,type,pet_type,concerns,usp,key_ingredients,coat_type,suitable_for,avoid_if,usage_notes,size_ml
iGROOM Deshedding + Detangling Shampoo,iGROOM,shampoo,dog; cat,shedding; loose undercoat; tangles; dry coat; coat maintenance,"Loosens tangles and unwanted undercoat, helps reduce new tangles, and adds shine, volume, and moisture.",argan oil; vitamin E; multiple botanical extracts,double coat; shedding coat; long coat; medium coat; tangle-prone coat,"Pets with shedding, loose undercoat, tangles, or dry coats that need smoother brushing and better coat manageability.","Avoid on open wounds, broken skin, severe irritation, or suspected skin infection without vet advice.","Good choice for deshedding sessions. For best coat result, pair with the matching Deshedding + Detangling Conditioner.",473
iGROOM Deshedding + Detangling Conditioner,iGROOM,conditioner,dog; cat,shedding; tangles; dry coat; lack of shine; coat maintenance,"Deshedding and detangling conditioner that adds shine, volume, and moisture while improving coat manageability.",argan oil; vitamin E; multiple botanical extracts,double coat; shedding coat; long coat; medium coat; tangle-prone coat,"Pets that need extra slip after shampooing to help loosen undercoat, reduce tangles, and leave the coat smoother.","Avoid on open wounds, broken skin, severe irritation, or suspected skin infection without vet advice.","Use after shampooing, especially for pets with shedding or tangles. Helpful when the coat needs more moisture and comb-through support.",473
iGROOM Charcoal + Keratin Shampoo,iGROOM,shampoo,dog; cat,buildup; oily coat; coat impurities; damaged coat; odour; dull coat,"Detoxifying shampoo with bamboo charcoal for deep cleansing and keratin support for strength, elasticity, and shine.",bamboo charcoal; hydrolyzed keratin; vegetable proteins,all coat types; damaged coat; oily coat; coat with buildup,"Pets needing a deeper cleanse, especially when the coat has buildup, excess oil, odour, or feels dull.","Avoid on open wounds, broken skin, severe dryness, strong irritation, or suspected infection without vet advice.","Recommend when a stronger cleansing shampoo is needed. For very dry or sensitive pets, follow with conditioner and avoid overusing.",473
iGROOM Charcoal + Keratin Conditioner,iGROOM,conditioner,dog; cat,damaged coat; dull coat; dryness; lack of body; coat weakness,"Conditioner with charcoal and keratin support to help restore body, improve manageability, and strengthen the coat feel.",bamboo charcoal; keratin amino acids; vegetable proteins,all coat types; damaged coat; dry coat; coat needing body,"Pets whose coat needs conditioning after a deeper cleanse, especially coats that feel dry, weak, dull, or difficult to manage.","Avoid on open wounds, broken skin, severe irritation, or suspected skin infection without vet advice.",Best paired with Charcoal + Keratin Shampoo to soften and support coat strength after cleansing.,473
Groomer Favor Pure Silver Shampoo,Groomer Favor,shampoo,dog; cat,sensitive skin; scaling; skin barrier support; skin hygiene; irritation support,"Dermatological shampoo with pure silver and zinc, positioned for sensitive pets and skin support.",pure silver; zinc; glycerin,all coat types; sensitive skin,"Pets needing a gentle skin-focused cleanse, especially when the skin looks sensitive, flaky, or needs extra support.","For severe redness, open wounds, bleeding, swelling, infection, or persistent scratching, recommend vet advice first.",Use as a skin-support shampoo. Avoid saying it cures infections or skin diseases. Can be paired with Pure Silver Balm after shampooing when appropriate.,300
Groomer Favor Pure Silver Balm,Groomer Favor,balm,dog; cat,localized skin support; damaged skin tissue support; sensitivity; dryness,"Localized balm with silver and zinc support, intended to be applied after Pure Silver Shampoo on areas needing extra care.",pure silver; zinc,all coat types; sensitive skin,"Pets needing localized after-bath skin support on specific areas, especially after using Pure Silver Shampoo.","Avoid contact with eyes and mucous membranes. For open wounds, bleeding, infection, or severe skin problems, recommend vet advice first.",Apply only on areas needing support after cleansing. Keep the recommendation careful and do not position as a replacement for veterinary treatment.,300
Groomer Favor Pure Silver Foam,Groomer Favor,foam,dog; cat,localized skin support; sensitivity; skin comfort; aftercare,No-rinse style foam from the Pure Silver line for localized skin and coat support between washes.,pure silver; zinc gluconate,all coat types; sensitive skin,"Pets that need localized skin-support care without doing a full bath, or for follow-up care on specific areas.","Avoid contact with eyes and mucous membranes. For open wounds, bleeding, infection, or severe skin problems, recommend vet advice first.","Useful for targeted application between baths. Keep the recommendation as supportive care, not a medical treatment claim.",160
Groomer Favor Ozone Sweet Conditioner,Groomer Favor,conditioner,dog; cat,sensitive skin; reactive skin; dryness; tangles; scaling support; coat hydration,"Conditioner for reactive or sensitive skin that moisturizes, supports combing, and helps restore dry or damaged coat appearance.",aloe vera leaf juice; argan oil; caprylyl glycine; xylitylglucoside,all coat types; sensitive skin; dry coat; damaged coat,Pets with sensitive or reactive skin that need hydration and easier combing after shampooing.,"For severe redness, open wounds, bleeding, swelling, infection, or persistent skin issues, recommend vet advice first.",Recommend after shampooing when the coat needs soothing hydration and better comb-through support. Avoid medical cure claims.,300
Groomer Favor Senior Care Shampoo,Groomer Favor,shampoo,dog; cat,senior pet coat; age-related odour; dry skin; skin regeneration support; coat hydration,"Senior care shampoo designed for older pets, helping neutralize age-related odour while supporting skin and coat hydration.",medicinal plant extracts; fennel; hops; lemon balm; mistletoe; chamomile; yarrow; allantoin; glycerin,all coat types; senior coat; dry coat,"Older pets, especially senior dogs or cats with age-related coat odour, dryness, or a coat needing gentle care.","Avoid on open wounds, broken skin, severe irritation, or suspected infection without vet advice.","Recommend for senior pets over about 8 years old when the concern is age-related odour, dryness, or gentle coat maintenance.",300
Groomer Favor Senior Care Balm,Groomer Favor,balm,dog; cat,senior pet coat; dryness; coat hydration; skin comfort; aftercare,Senior care balm to support coat softness and skin comfort after shampooing for older pets.,medicinal plant extracts; glycerin; moisturizing conditioning agents,all coat types; senior coat; dry coat,"Older pets that need extra conditioning after Senior Care Shampoo, especially when the coat or skin feels dry.","Avoid on open wounds, broken skin, severe irritation, or suspected infection without vet advice.","Use after Senior Care Shampoo for extra conditioning support. Keep it as supportive grooming care, not a medical treatment.",300
Pet Esthé Spa Mud General Shampoo,Pet Esthé,shampoo,dog,general cleansing; oily buildup; coat freshness; normal coat maintenance,Spa mud shampoo for general dog use that helps lift stubborn oily buildup while staying gentle on coat and skin.,mud ingredients from various regions; vegetable-derived hypoallergenic cleansing agents,all coat types,"Dogs needing a general deep clean, especially when the coat has more oil or buildup but no major skin concern.","Avoid on open wounds, broken skin, severe redness, swelling, or suspected infection without vet advice.","Good general cleansing option. For severe skin issues, recommend vet advice rather than relying only on shampoo.",350
Pet Esthé Mud Shampoo for Delicate Puppies,Pet Esthé,shampoo,dog,puppy coat; delicate skin; low stimulation; gentle cleansing,Low-stimulating mud shampoo made for delicate puppy coats and skin.,plant-based amino acid cleansing ingredients from sugar cane and tapioca; mud,puppy coat; delicate coat; sensitive coat,"Puppies or dogs with delicate coats that need a softer, low-stimulation cleansing option.","Avoid on open wounds, broken skin, severe irritation, or suspected infection without vet advice.",Use when the main need is a gentle puppy-safe style wash. Keep medical skin concerns referred to a vet.,350
Pet Esthé Mud Shampoo for All Dog Breeds,Pet Esthé,shampoo,dog,gentle cleansing; normal coat maintenance; low stimulation; coat softness,Low-stimulating mud shampoo for all dog breeds.,amino acid-based surfactants; mud,all coat types,Dogs of any breed that need a gentle low-stimulation shampoo for regular coat maintenance.,"Avoid on open wounds, broken skin, severe redness, swelling, or suspected infection without vet advice.","Recommend as a gentle general shampoo, especially when owner wants something mild but not specifically medicated.",350
Pet Esthé Bio Skin Care Shampoo for Dogs,Pet Esthé,shampoo,dog,sensitive skin; skin barrier support; gentle cleansing; coat nourishment,Organic skin care shampoo for dogs with natural-origin ingredients to gently cleanse and support skin and coat condition.,plant stem cell extracts; Pinus Pinaster bark extract; Opuntia Ficus-Indica seed oil; Argania Spinosa kernel oil; tea tree oil; eucalyptus oil,all coat types; sensitive skin,Dogs needing gentle skin-care focused cleansing and coat nourishment.,"Avoid on open wounds, severe redness, swelling, suspected infection, or if the pet is sensitive to essential oils without vet advice.",Recommend for skin-care focused maintenance. Avoid describing it as a treatment for infection or severe skin disease.,250
Pet Esthé Bio Skin Care Cleansing for Cats,Pet Esthé,cleansing foam,cat,waterless cleansing; skin care; coat freshness; odour control; gentle cleansing,No-rinse cleansing foam for cats with high natural-origin content and organic ingredients.,plant stem cell extracts; Pinus Pinaster bark extract; Opuntia Ficus-Indica seed oil; Argania Spinosa kernel oil; cat-safe botanical extracts,all coat types; sensitive cat coat,"Cats that need gentle spot cleaning or waterless cleansing, especially when a full bath may be stressful.","Avoid around eyes, open wounds, broken skin, severe irritation, or suspected infection without vet advice.","Useful for cats who do not tolerate bathing well. Keep explanation as cleansing support, not a medical treatment.",140
Pet Esthé Bio Skin Care Shampoo for Cats,Pet Esthé,shampoo,cat,sensitive skin; gentle cleansing; skin care; fragrance-free cleansing,"Bio skin care shampoo for cats, formulated without essential oils and fragrance-free for feline suitability.",plant stem cell extracts; Pinus Pinaster bark extract; Opuntia Ficus-Indica seed oil; Argania Spinosa kernel oil; sage leaf extract; hawthorn fruit extract,all coat types; sensitive cat coat,Cats needing a gentle skin-care focused shampoo without fragrance or essential oils.,"Avoid on open wounds, broken skin, severe irritation, suspected infection, or very stressed cats without professional advice.",Recommend for cats when a rinse shampoo is appropriate. Avoid using dog shampoos on cats unless specifically cat-safe.,250
iGROOM Prebiotic Shampoo,iGROOM,shampoo,dog; cat,sensitive skin; problem skin; dryness; redness; flaking; microbiome support; tangles; undercoat,"Microbiome-friendly prebiotic shampoo that gently cleanses, helps retain moisture, and supports the skin’s natural balance.",inulin; prebiotic ingredients; saccharide isomerate; gentle cleansing agents,all coat types; sensitive skin; dry coat; undercoat,"Pets with sensitive or problem-prone skin that need gentle cleansing, moisture support, and easier detangling.","For severe skin issues, open wounds, bleeding, swelling, infection, or persistent scratching, recommend vet advice first.","Best recommendation when customer asks for sensitive skin or microbiome support. Phrase as supportive care, not a cure.",473
iGROOM Prebiotic Conditioner,iGROOM,conditioner,dog; cat,sensitive skin; dry coat; tangles; coat strengthening; microbiome support; shine,"Prebiotic conditioner that helps rebalance the skin’s natural microbiome while nourishing, detangling, and adding shine.",inulin; saccharide isomerate; chamomile extract; chestnut extract; conditioning agents,all coat types; sensitive skin; dry coat; tangled coat,"Pets needing conditioning support after shampoo, especially dry, tangled, or sensitive coats.","Avoid on open wounds, broken skin, severe irritation, or suspected infection without vet advice.",Recommend after Prebiotic Shampoo or when the coat needs extra conditioning and easier comb-through.,473
Pet Esthé Professional Shampoo for Short and Medium Length Haired Dogs,Pet Esthé,shampoo,dog,short coat; medium coat; gentle cleansing; coat moisture; professional grooming maintenance,Professional shampoo formulated for short and medium length haired dogs to support gentle cleansing and coat moisture.,moisturizing agents; natural extracts; exact full active list not confirmed,short coat; medium coat,Dogs with short to medium coats that need professional-style regular grooming maintenance.,"Avoid on open wounds, broken skin, severe irritation, or suspected infection without vet advice.",Recommend based on coat length when there is no strong skin issue. Use a skin-focused shampoo instead for itch or redness concerns.,unclear from photo
Pet Esthé Professional Charcoal Shampoo for Dogs and Cats,Pet Esthé,shampoo,dog; cat,odour; oily buildup; deep cleansing; coat freshness; dirt removal,Charcoal shampoo that uses Japanese charcoal and bamboo charcoal to absorb dirt and odours while gently cleansing.,Japanese charcoal; bamboo charcoal; bamboo vinegar extract; Dead Sea salt; propolis; wheat germ oil,all coat types; oily coat; odour-prone coat,"Dogs or cats needing deeper cleansing support for oil, dirt, or odour.","Avoid on open wounds, broken skin, severe irritation, or suspected infection without vet advice.","Good for odour and buildup. For odour caused by skin infection signs, recommend vet advice first.",unclear from photo
Pet Esthé Professional Charcoal Conditioner for Dogs and Cats,Pet Esthé,conditioner,dog; cat,aftercare; coat conditioning; odour-prone coat; dryness; coat softness,Charcoal series conditioner to support softness and aftercare after charcoal cleansing.,Japanese charcoal; bamboo charcoal; bamboo vinegar extract; Dead Sea salt; propolis; wheat germ oil,all coat types; oily coat; odour-prone coat,"Dogs or cats that need conditioning after deep cleansing, especially when coat softness and manageability are needed.","Avoid on open wounds, broken skin, severe irritation, or suspected infection without vet advice.","Use after charcoal shampoo when coat needs conditioning. Keep as grooming support, not medical treatment.",unclear from photo
